epoch,lr,train_loss,train_auc,val_loss,val_auc,val_pred_mean,val_pred_std,val_pred_range,val_pos_mean,val_neg_mean,val_class_sep
0,2e-05,0.7901050735983932,0.5647607759670662,0.7108603715896606,0.4901761144744084,0.511040985584259,0.002847489668056369,0.015451967716217041,0.5110849142074585,0.5110358595848083,4.9054622650146484e-05
1,4e-05,0.7015668106706519,0.5860209307707298,0.6951129691941398,0.5063291139240507,0.5012511014938354,0.0003358490066602826,0.0019521713256835938,0.5012913942337036,0.501246452331543,4.494190216064453e-05
2,6.000000000000001e-05,0.6951984407608969,0.5922254853600311,0.6937735506466457,0.5093560814529444,0.5003998279571533,0.0001012795401038602,0.0005931854248046875,0.5004158020019531,0.5003979802131653,1.7821788787841797e-05
3,8e-05,0.693999753709425,0.5949251102260548,0.6934234840529305,0.5110071546505228,0.5001765489578247,4.3062333134002984e-05,0.00025147199630737305,0.5001840591430664,0.5001756548881531,8.404254913330078e-06
4,0.0001,0.6935871138907316,0.5971911386777745,0.6932921665055412,0.5135112823335168,0.5000926852226257,2.190601844631601e-05,0.00012671947479248047,0.5000969171524048,0.5000921487808228,4.76837158203125e-06
5,0.0001,0.6934165442199037,0.5982804583211536,0.6932391439165387,0.5145019262520639,0.5000588297843933,1.3625365681946278e-05,7.814168930053711e-05,0.5000615119934082,0.5000584721565247,3.039836883544922e-06
6,0.0001,0.6933303857058809,0.5989775163207639,0.6932114447866168,0.5162080352228948,0.500041127204895,9.377856258652173e-06,5.340576171875e-05,0.5000430941581726,0.5000408887863159,2.205371856689453e-06
7,0.0001,0.6932834533222935,0.5994095141527818,0.693194968359811,0.5173913043478262,0.5000305771827698,6.8671483859361615e-06,3.8623809814453125e-05,0.5000320672988892,0.5000303983688354,1.6689300537109375e-06
8,0.0001,0.6932519256022939,0.5998562798402026,0.6931841969490051,0.5184369840396257,0.5000237226486206,5.237632194621256e-06,2.9146671295166016e-05,0.5000248551368713,0.5000235438346863,1.3113021850585938e-06
9,0.0001,0.6932306624295419,0.6003798536003118,0.6931767804282052,0.5188772702256468,0.5000189542770386,4.154239377385238e-06,2.294778823852539e-05,0.5000198483467102,0.500018835067749,1.0132789611816406e-06
10,0.0001,0.6932161293531719,0.6004147179187372,0.6931713564055306,0.5187121629058888,0.5000154376029968,3.3560472729732282e-06,1.8358230590820312e-05,0.5000162124633789,0.500015377998352,8.344650268554688e-07
11,0.0001,0.6932044018778885,0.6006281667153852,0.6931673118046352,0.5195927352779307,0.5000129342079163,2.77116510005726e-06,1.5020370483398438e-05,0.5000134706497192,0.5000128149986267,6.556510925292969e-07
12,0.0001,0.6931962067620796,0.6007914504774432,0.6931641783033099,0.5209411117226197,0.5000109076499939,2.3247023364092456e-06,1.2516975402832031e-05,0.5000113844871521,0.5000107884407043,5.960464477539062e-07
13,0.0001,0.6931886594546469,0.6007937341664232,0.6931617345128741,0.520253164556962,0.5000093579292297,1.9721458102139877e-06,1.049041748046875e-05,0.5000097751617432,0.500009298324585,4.76837158203125e-07
14,0.0001,0.6931835899227544,0.6010053560118873,0.6931597334997994,0.5195652173913043,0.5000080466270447,1.6893658312255866e-06,8.940696716308594e-06,0.5000084042549133,0.5000080466270447,3.5762786865234375e-07
15,0.0001,0.6931785413047724,0.6011254019292603,0.6931581156594413,0.5218767198679142,0.5000070333480835,1.4649617696704809e-06,7.68899917602539e-06,0.5000073313713074,0.5000069737434387,3.5762786865234375e-07
16,0.0001,0.6931752112873814,0.6010804893793238,0.6931567702974591,0.5206934507429829,0.5000061988830566,1.278314243791101e-06,6.67572021484375e-06,0.5000064373016357,0.5000061392784119,2.980232238769531e-07
17,0.0001,0.6931719168236381,0.6014630072834455,0.693155654839107,0.5227572922399559,0.5000054836273193,1.12146187802864e-06,5.781650543212891e-06,0.5000057220458984,0.5000054240226746,2.980232238769531e-07
18,0.0001,0.6931689820791546,0.6010778250755139,0.6931547096797398,0.5226197028068245,0.5000048279762268,9.934391300703282e-07,5.125999450683594e-06,0.5000050663948059,0.5000048279762268,2.384185791015625e-07
