epoch,lr,train_loss,train_auc,val_loss,val_auc,val_pred_mean,val_pred_std,val_pred_range,val_pos_mean,val_neg_mean,val_class_sep
0,2e-05,0.8388511758101614,0.5902177421319303,0.725092453616006,0.5047881122729774,0.5198454856872559,0.005674450658261776,0.03136390447616577,0.5205833315849304,0.5197595357894897,0.0008237957954406738
1,4e-05,0.7050073146820068,0.6027194168371821,0.6953393135751996,0.4951293340671436,0.5014058351516724,0.00043389046913944185,0.002701699733734131,0.501491129398346,0.5013958811759949,9.524822235107422e-05
2,6.000000000000001e-05,0.6955120767417707,0.6042608307756017,0.6938099690846035,0.4919922949917446,0.500425398349762,0.00012576136214192957,0.0007865428924560547,0.5004509091377258,0.500422477722168,2.8431415557861328e-05
3,8e-05,0.694111109302755,0.6039699649225372,0.693428805896214,0.4865162355531095,0.5001805424690247,5.118871558806859e-05,0.0003222227096557617,0.5001903772354126,0.5001793503761292,1.1026859283447266e-05
4,0.0001,0.693632395643937,0.6035652952353113,0.6932922771998814,0.48200330214639514,0.5000929236412048,2.543908340157941e-05,0.0001602768898010254,0.5000976324081421,0.5000923871994019,5.245208740234375e-06
5,9.755282581475769e-05,0.6934364082520468,0.6031453248319204,0.6932381136076791,0.48035222894881674,0.5000581741333008,1.560794044053182e-05,9.78708267211914e-05,0.5000609159469604,0.5000578761100769,3.039836883544922e-06
6,9.045084971874738e-05,0.6933469876908419,0.6028532410114003,0.6932106443813869,0.4797743533296643,0.5000406503677368,1.0741515325207729e-05,6.717443466186523e-05,0.5000424385070801,0.5000403523445129,2.086162567138672e-06
7,7.938926261462366e-05,0.6932966735279351,0.6023244147666375,0.6931950194495065,0.47872867363786464,0.5000305771827698,7.983067916939035e-06,4.976987838745117e-05,0.5000319480895996,0.5000304579734802,1.4901161193847656e-06
8,6.545084971874738e-05,0.6932657998904848,0.6020521990402417,0.6931855763707843,0.47853604843148045,0.5000245571136475,6.359467533911811e-06,3.9517879486083984e-05,0.5000255703926086,0.5000244379043579,1.1324882507324219e-06
9,5e-05,0.693245996508682,0.6018217748221768,0.6931796669960022,0.477682993946065,0.5000208020210266,5.3445423873199616e-06,3.30805778503418e-05,0.5000216364860535,0.5000206828117371,9.5367431640625e-07
10,3.4549150281252636e-05,0.6932331611189926,0.6016544565429213,0.6931759544781276,0.47776554760594386,0.5000183582305908,4.711592282546917e-06,2.9146671295166016e-05,0.5000191330909729,0.500018298625946,8.344650268554688e-07
11,2.061073738537635e-05,0.6932255824406942,0.6015674479927896,0.6931736724717277,0.47776554760594386,0.5000168681144714,4.326277576183202e-06,2.6702880859375e-05,0.5000176429748535,0.5000168681144714,7.748603820800781e-07
12,9.549150281252633e-06,0.6932214529890763,0.6015341822566501,0.6931723356246948,0.4772151898734177,0.5000160932540894,4.103706032765331e-06,2.5331974029541016e-05,0.5000166893005371,0.5000159740447998,7.152557373046875e-07
13,2.4471741852423237e-06,0.6932191508903838,0.6014136034785151,0.6931717395782471,0.4776279581728124,0.5000157356262207,4.001316483481787e-06,2.4616718292236328e-05,0.5000162720680237,0.5000156164169312,6.556510925292969e-07
