experiment,stage,budget,horizon,d_model,n_layers,n_heads,dropout,lr,weight_decay,auc,accuracy,precision,recall,f1,pred_min,pred_max,pred_mean
s1_01_2m_h1_a50,S1,2M,1,64,4,4,0.5,0.0001,0,0.7077502281715851,0.8199052132701422,0.5,0.06578947368421052,0.11627906976744186,0.009755192324519157,0.6794843673706055,0.10277111083269119
s1_02_20m_h1_a50,S1,20M,1,128,6,8,0.5,0.0001,0,0.7218968664435657,0.8104265402843602,0.4230769230769231,0.14473684210526316,0.21568627450980393,0.009160381741821766,0.7702744007110596,0.12632021307945251
s1_03_200m_h1_a50,S1,200M,1,256,8,8,0.5,0.0001,0,0.6993078795254031,0.8080568720379147,0.42424242424242425,0.18421052631578946,0.25688073394495414,0.004268669988960028,0.9305091500282288,0.12415791302919388
s2_arch_200m_h1_balanced,S2,200M,1,320,6,8,0.5,0.0001,0,0.7142531183449955,0.8104265402843602,0.4166666666666667,0.13157894736842105,0.2,0.004909038078039885,0.9314279556274414,0.11832314729690552
s2_arch_200m_h1_heads16,S2,200M,1,256,8,16,0.5,0.0001,0,0.7049741405536964,0.8056872037914692,0.42105263157894735,0.21052631578947367,0.2807017543859649,0.00877657812088728,0.9116354584693909,0.15417905151844025
s2_arch_200m_h1_shallow,S2,200M,1,256,4,8,0.5,0.0001,0,0.7085108001216915,0.8127962085308057,0.4117647058823529,0.09210526315789473,0.15053763440860216,0.003986694384366274,0.903592050075531,0.1072126105427742
s2_arch_200m_h1_wide,S2,200M,1,384,4,8,0.5,0.0001,0,0.6837161545482202,0.7867298578199052,0.36538461538461536,0.25,0.296875,0.003904805053025484,0.9819332957267761,0.157700777053833
s2_arch_20m_h1_heads16,S2,20M,1,128,5,16,0.5,0.0001,0,0.7168390629753574,0.8127962085308057,0.42105263157894735,0.10526315789473684,0.16842105263157894,0.005729556083679199,0.7867958545684814,0.11454379558563232
s2_arch_2m_h1_heads8,S2,2M,1,64,3,8,0.5,0.0001,0,0.7279053848494068,0.8127962085308057,0.4117647058823529,0.09210526315789473,0.15053763440860216,0.006716855801641941,0.7431979179382324,0.09644868969917297
s2_horizon_200m_h2_a50,S2,200M,2,256,8,8,0.5,0.0001,0,0.6408308004052685,0.6959619952494062,0.6181818181818182,0.24113475177304963,0.3469387755102041,0.011491458863019943,0.8825398087501526,0.2277337610721588
s2_horizon_200m_h3_a50,S2,200M,3,256,8,8,0.5,0.0001,0,0.6164530892448512,0.6071428571428571,0.5796178343949044,0.4789473684210526,0.5244956772334294,0.04667774215340614,0.9366965293884277,0.43030139803886414
s2_horizon_200m_h5_a50,S2,200M,5,256,8,8,0.5,0.0001,0,0.574778729393802,0.5789473684210527,0.6245847176079734,0.749003984063745,0.6811594202898551,0.19758494198322296,0.972283124923706,0.6279721260070801
s2_horizon_20m_h2_a50,S2,20M,2,128,6,8,0.5,0.0001,0,0.6345997973657549,0.6745843230403801,0.5256410256410257,0.2907801418439716,0.3744292237442922,0.030668769031763077,0.8847194314002991,0.2676319479942322
s2_horizon_20m_h3_a50,S2,20M,3,128,6,8,0.5,0.0001,0,0.6192677345537758,0.5857142857142857,0.5869565217391305,0.28421052631578947,0.3829787234042553,0.06108738109469414,0.9038914442062378,0.3379119038581848
s2_horizon_20m_h5_a50,S2,20M,5,128,6,8,0.5,0.0001,0,0.5928620845957486,0.5861244019138756,0.6048387096774194,0.896414342629482,0.7223113964686998,0.3253728151321411,0.9753788113594055,0.6988916993141174
s2_horizon_2m_h2_a50,S2,2M,2,64,4,4,0.5,0.0001,0,0.6431357649442756,0.6769596199524941,0.5423728813559322,0.22695035460992907,0.32,0.021064644679427147,0.8810609579086304,0.24014170467853546
s2_horizon_2m_h3_a50,S2,2M,3,64,4,4,0.5,0.0001,0,0.6095194508009153,0.6023809523809524,0.583941605839416,0.42105263157894735,0.4892966360856269,0.05328782647848129,0.9402512907981873,0.40041813254356384
s2_horizon_2m_h5_a50,S2,2M,5,64,4,4,0.5,0.0001,0,0.593983348044946,0.6100478468899522,0.6571428571428571,0.7330677290836654,0.6930320150659134,0.20034846663475037,0.9722869396209717,0.5958598852157593
s2_train_200m_h1_drop03,S2,200M,1,256,8,8,0.3,0.0001,0,0.692843017949498,0.8009478672985783,0.36666666666666664,0.14473684210526316,0.20754716981132076,0.005945564713329077,0.9501936435699463,0.13852770626544952
s2_train_200m_h1_drop07,S2,200M,1,256,8,8,0.7,0.0001,0,0.6974825068451475,0.8127962085308057,0.4117647058823529,0.09210526315789473,0.15053763440860216,0.0033954291138798,0.7397980093955994,0.073526531457901
s2_train_200m_h1_lr2e4,S2,200M,1,256,8,8,0.5,0.0002,0,0.7031867964709463,0.8175355450236966,0.48,0.15789473684210525,0.2376237623762376,0.003379575675353408,0.9541749358177185,0.13286100327968597
