config_name,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,dropout,learning_rate,weight_decay
H1,0.7298068147246729,0.5384615384615384,0.09210526315789473,0.011867079883813858,0.7367193698883057,50,31.912197828292847,128,6,8,4,0.35,7e-05,0.0005
G4,0.7291603285670825,0.40816326530612246,0.2631578947368421,0.011061946861445904,0.8559795618057251,50,52.2496771812439,128,4,8,4,0.4,5e-05,0.0003
G2,0.7275631274718589,0.4318181818181818,0.25,0.00871638860553503,0.829447329044342,50,55.02513575553894,128,4,8,4,0.45,5e-05,0.0001
G5,0.7273729844843322,0.4375,0.09210526315789473,0.007403914351016283,0.7234249711036682,50,29.67566180229187,128,3,8,4,0.4,5e-05,0.0001
G3,0.7242166108913903,0.4583333333333333,0.14473684210526316,0.006673042196780443,0.8041753768920898,50,35.97822380065918,128,4,8,4,0.4,7e-05,0.0001
H4,0.7230757529662306,0.3,0.07894736842105263,0.0074366494081914425,0.7980545163154602,50,40.87755227088928,128,4,8,4,0.35,7e-05,0.0003
I4,0.7211743230909643,0.5,0.15789473684210525,0.012256413698196411,0.8315970301628113,50,39.096275091171265,160,6,8,4,0.4,5e-05,0.0001
H3,0.7188545786431396,0.5454545454545454,0.07894736842105263,0.008960559964179993,0.7236331105232239,50,32.788060903549194,160,6,8,4,0.35,7e-05,0.0003
I2,0.7175235777304534,0.42857142857142855,0.15789473684210525,0.008818469941616058,0.9072372913360596,50,40.56561517715454,192,6,8,4,0.3,5e-05,0.0001
H2,0.7174094919379372,0.44,0.14473684210526316,0.007869201712310314,0.8165578246116638,50,34.112722873687744,128,5,8,4,0.35,7e-05,0.0003
I1,0.7121235168846972,0.47619047619047616,0.13157894736842105,0.00464775413274765,0.815040647983551,50,43.85788679122925,160,5,8,4,0.35,5e-05,0.0001
G1,0.7086248859142075,0.4,0.10526315789473684,0.006687669549137354,0.8086889386177063,50,34.33374094963074,160,4,8,4,0.4,5e-05,0.0001
I3,0.7082826285366597,0.39285714285714285,0.14473684210526316,0.007166420575231314,0.8345364928245544,50,33.386401891708374,160,4,8,4,0.35,5e-05,0.0001
