budget,horizon,accuracy,precision,recall,f1,auc_roc,n_samples,checkpoint_val_loss,avg_confidence
2M,1,0.10384615384615385,0.10384615384615385,1.0,0.18815331010452963,0.5706564934032745,260,0.20303629338741302,0.5219167470932007
2M,2,0.21621621621621623,0.21621621621621623,1.0,0.35555555555555557,0.5650070372976777,259,0.5137647390365601,0.5511828064918518
2M,3,0.3372093023255814,0.3372093023255814,1.0,0.5043478260869565,0.6030785776702292,258,0.5758935809135437,0.5655803084373474
2M,5,0.48828125,0.48828125,1.0,0.6561679790026247,0.5326106870229008,256,0.6165797114372253,0.602745771408081
20M,1,0.10384615384615385,0.10384615384615385,1.0,0.18815331010452963,0.6041964711492608,260,0.20073889195919037,0.5176007747650146
20M,2,0.21621621621621623,0.21621621621621623,1.0,0.35555555555555557,0.5830401125967628,259,0.5150919556617737,0.5514939427375793
20M,3,0.3372093023255814,0.3372093023255814,1.0,0.5043478260869565,0.6212610069234389,258,0.5748299956321716,0.5687932968139648
20M,5,0.48828125,0.48828125,1.0,0.6561679790026247,0.5355725190839695,256,0.5735208988189697,0.5877885818481445
200M,1,0.10384615384615385,0.10384615384615385,1.0,0.18815331010452963,0.6238276903512955,260,0.21445626020431519,0.5230073928833008
200M,2,0.21621621621621623,0.21621621621621623,1.0,0.35555555555555557,0.5869985925404644,259,0.5157322883605957,0.5563421845436096
200M,3,0.3372093023255814,0.3372093023255814,1.0,0.5043478260869565,0.609665927270283,258,0.5768120288848877,0.5565115809440613
200M,5,0.48828125,0.48828125,1.0,0.6561679790026247,0.535206106870229,256,0.5842770338058472,0.5920085310935974
2B,1,0.10384615384615385,0.10384615384615385,1.0,0.18815331010452963,0.6452869178191067,260,0.2057371586561203,0.5193400382995605
2B,2,0.21621621621621623,0.21621621621621623,1.0,0.35555555555555557,0.5833479943701618,259,0.5150192975997925,0.5533350110054016
2B,3,0.3372093023255814,0.3372093023255814,1.0,0.5043478260869565,0.5909457551925792,258,0.578730046749115,0.5738357305526733
2B,5,0.48828125,0.48828125,1.0,0.6561679790026247,0.5829007633587786,256,0.5618617534637451,0.5819321870803833
